Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-26,9,0.0,12,1.0,9,0,0.0,0.0,0.0
2020-02-27,11,0.0,14,2.0,11,0,0.0,0.0,0.0
2020-02-28,12,0.0,15,1.0,12,0,0.0,0.0,0.0
2020-02-29,16,0.0,20,5.0,16,0,0.0,1.0,0.0
2020-03-01,20,0.0,24,4.0,20,0,0.0,0.0,0.0
2020-03-02,20,0.0,27,3.0,20,0,0.0,3.0,0.0
2020-03-03,23,0.0,30,3.0,23,0,0.0,0.0,0.0
2020-03-04,27,0.0,34,4.0,27,0,0.0,0.0,0.0
2020-03-05,29,0.0,37,3.0,29,0,0.0,1.0,0.0
2020-03-06,46,0.0,54,17.0,46,0,0.0,0.0,0.0
2020-03-07,52,0.0,60,6.0,52,0,0.0,0.0,0.0
2020-03-08,58,0.0,66,6.0,58,0,0.0,0.0,0.0
2020-03-09,68,11.11,77,11.0,68,1,1.0,0.0,11.11
2020-03-10,86,11.11,95,18.0,86,1,0.0,0.0,11.11
2020-03-11,100,10.0,110,15.0,100,1,0.0,1.0,10.0
2020-03-12,130,8.33,142,32.0,130,1,0.0,2.0,8.33
2020-03-13,186,8.33,198,56.0,186,1,0.0,0.0,8.33
2020-03-14,240,8.33,252,54.0,240,1,0.0,0.0,8.33
2020-03-15,329,8.33,341,89.0,329,1,0.0,0.0,8.33
2020-03-16,426,26.67,441,100.0,426,4,3.0,0.0,26.67
2020-03-17,578,40.0,598,157.0,578,8,4.0,1.0,40.0
2020-03-18,706,42.86,727,129.0,706,9,1.0,0.0,42.86
2020-03-19,850,52.17,873,146.0,850,12,3.0,-1.0,52.17
2020-03-20,1061,46.15,1087,214.0,1061,12,0.0,3.0,46.15
2020-03-21,1295,57.58,1328,241.0,1295,19,7.0,0.0,57.58
2020-03-22,1436,58.82,1470,142.0,1436,20,1.0,0.0,58.82
2020-03-23,1747,6.98,2091,621.0,1747,24,4.0,306.0,6.98
2020-03-24,2654,18.84,2792,701.0,2654,26,2.0,-208.0,18.84
2020-03-25,3188,16.29,3409,617.0,3188,36,10.0,73.0,16.29
2020-03-26,3776,14.61,4043,634.0,3776,39,3.0,43.0,14.61
2020-03-27,4348,13.45,4757,714.0,4348,55,16.0,126.0,13.45
2020-03-28,5199,13.16,5655,898.0,5199,60,5.0,42.0,13.16
2020-03-29,5682,10.19,6320,665.0,5682,65,5.0,177.0,10.19
2020-03-30,6266,7.53,7448,1128.0,6266,89,24.0,520.0,7.53
2020-03-31,7269,7.52,8612,1164.0,7269,101,12.0,149.0,7.52
2020-04-01,7881,6.16,9731,1119.0,7881,114,13.0,494.0,6.16
2020-04-02,9131,8.04,11283,1552.0,9131,173,59.0,243.0,8.04
2020-04-03,9981,8.69,12375,1092.0,9981,208,35.0,207.0,8.69
2020-04-04,11086,8.17,13912,1537.0,11086,231,23.0,409.0,8.17
2020-04-05,12290,8.69,15512,1600.0,12290,280,49.0,347.0,8.69
2020-04-06,12728,8.2,16667,1155.0,12728,323,43.0,674.0,8.2
2020-04-07,13488,8.64,17897,1230.0,13488,381,58.0,412.0,8.64
2020-04-08,14463,8.58,19438,1541.0,14463,427,46.0,520.0,8.58
2020-04-09,14945,8.75,20765,1327.0,14945,509,82.0,763.0,8.75
2020-04-10,15566,8.64,22148,1383.0,15566,569,60.0,702.0,8.64
2020-04-11,16237,9.22,23318,1170.0,16237,653,84.0,415.0,9.22
2020-04-12,16494,9.09,24383,1065.0,16494,717,64.0,744.0,9.09
2020-04-13,17144,9.14,25680,1297.0,17144,780,63.0,584.0,9.14
2020-04-14,17925,9.88,27063,1383.0,17925,903,123.0,479.0,9.88
2020-04-15,18390,10.11,28379,1316.0,18390,1010,107.0,744.0,10.11
2020-04-16,19182,10.94,30106,1727.0,19182,1195,185.0,750.0,10.94
2020-04-17,20074,11.05,31927,1821.0,20074,1310,115.0,814.0,11.05
2020-04-18,20706,11.6,33383,1456.0,20706,1470,160.0,664.0,11.6
2020-04-19,21626,11.82,35056,1673.0,21626,1587,117.0,636.0,11.82
2020-04-20,22553,11.84,36829,1773.0,22553,1690,103.0,743.0,11.84
2020-04-21,23400,12.21,38422,1593.0,23400,1834,144.0,602.0,12.21
2020-04-22,24230,12.37,40190,1768.0,24230,1974,140.0,798.0,12.37
2020-04-23,25202,12.7,42110,1920.0,25202,2147,173.0,775.0,12.7
2020-04-24,26117,12.95,43888,1778.0,26117,2302,155.0,708.0,12.95
2020-04-25,26464,13.05,45354,1466.0,26464,2465,163.0,956.0,13.05
2020-04-26,27014,12.88,46895,1541.0,27014,2560,95.0,896.0,12.88
2020-04-27,27525,12.91,48500,1605.0,27525,2707,147.0,947.0,12.91
2020-04-28,27977,12.97,50026,1526.0,27977,2859,152.0,922.0,12.97
2020-04-29,28274,12.85,51597,1571.0,28274,2996,137.0,1137.0,12.85
2020-04-30,28629,12.94,53236,1639.0,28629,3184,188.0,1096.0,12.94
2020-05-01,28919,12.97,55061,1825.0,28919,3391,207.0,1328.0,12.97
2020-05-02,29347,13.03,56714,1653.0,29347,3566,175.0,1050.0,13.03
2020-05-03,30884,12.88,59474,2760.0,30884,3682,116.0,1107.0,12.88
2020-05-04,30901,12.9,60772,1298.0,30901,3854,172.0,1109.0,12.9
2020-05-05,31010,13.03,62046,1274.0,31010,4043,189.0,976.0,13.03
2020-05-06,31093,13.06,63496,1450.0,31093,4232,189.0,1178.0,13.06
2020-05-07,31542,13.21,64922,1426.0,31542,4408,176.0,801.0,13.21
2020-05-08,31459,13.06,66434,1512.0,31459,4569,161.0,1434.0,13.06
2020-05-09,31760,13.06,67702,1268.0,31760,4693,124.0,843.0,13.06
2020-05-10,31882,13.17,68848,1146.0,31882,4870,177.0,847.0,13.17
2020-05-11,31994,13.14,69981,1133.0,31994,4993,123.0,898.0,13.14
2020-05-12,31946,13.18,71157,1176.0,31946,5169,176.0,1048.0,13.18
2020-05-13,31812,13.1,72278,1121.0,31812,5302,133.0,1122.0,13.1
2020-05-14,31838,13.17,73401,1123.0,31838,5472,170.0,927.0,13.17
2020-05-15,32156,13.1,74613,1212.0,32156,5562,90.0,804.0,13.1
2020-05-16,32366,13.06,75864,1251.0,32366,5679,117.0,924.0,13.06
2020-05-17,32670,13.04,77002,1138.0,32670,5782,103.0,731.0,13.04
2020-05-18,33002,12.96,78072,1070.0,33002,5842,60.0,678.0,12.96
2020-05-19,33150,12.86,79112,1040.0,33150,5912,70.0,822.0,12.86
2020-05-20,33335,12.88,80142,1030.0,33335,6031,119.0,726.0,12.88
2020-05-21,33457,12.85,81324,1182.0,33457,6152,121.0,939.0,12.85
2020-05-22,33636,12.8,82480,1156.0,33636,6250,98.0,879.0,12.8
2020-05-23,33961,12.8,83621,1141.0,33961,6355,105.0,711.0,12.8
2020-05-24,34290,12.74,84699,1078.0,34290,6424,69.0,680.0,12.74
2020-05-25,34528,12.79,85711,1012.0,34528,6545,121.0,653.0,12.79
2020-05-26,34669,12.77,86647,936.0,34669,6639,94.0,701.0,12.77
2020-05-27,34590,12.78,87519,872.0,34590,6765,126.0,825.0,12.78
2020-05-28,34795,12.8,88512,993.0,34795,6877,112.0,676.0,12.8
2020-05-29,34921,12.81,89418,906.0,34921,6979,102.0,678.0,12.81
2020-05-30,35014,12.82,90190,772.0,35014,7073,94.0,585.0,12.82
2020-05-31,34773,12.99,90947,757.0,34773,7295,222.0,776.0,12.99
2020-06-01,34653,12.84,91705,758.0,34653,7326,31.0,847.0,12.84
2020-06-02,34658,12.8,92410,705.0,34658,7395,69.0,631.0,12.8
2020-06-03,34539,12.81,93085,675.0,34539,7498,103.0,691.0,12.81
2020-06-04,34350,12.86,93726,641.0,34350,7637,139.0,691.0,12.86
2020-06-05,34064,12.78,94335,609.0,34064,7703,66.0,829.0,12.78
2020-06-06,33670,12.66,95057,722.0,33670,7773,70.0,1046.0,12.66
2020-06-07,33666,12.57,95699,642.0,33666,7800,27.0,619.0,12.57
2020-06-08,33409,12.47,96244,545.0,33409,7835,35.0,767.0,12.47
2020-06-09,33184,12.44,96653,409.0,33184,7897,62.0,572.0,12.44
2020-06-10,32526,12.32,97125,472.0,32526,7960,63.0,1067.0,12.32
2020-06-11,31878,12.18,97530,405.0,31878,7994,34.0,1019.0,12.18
2020-06-12,31371,12.09,97943,413.0,31371,8049,55.0,865.0,12.09
2020-06-13,30949,12.02,98410,467.0,30949,8107,58.0,831.0,12.02
2020-06-14,30369,11.91,98787,377.0,30369,8146,39.0,918.0,11.91
2020-06-15,29930,11.81,99147,360.0,29930,8175,29.0,770.0,11.81
2020-06-16,29811,11.79,99467,320.0,29811,8213,38.0,401.0,11.79
2020-06-17,29582,11.75,99853,386.0,29582,8254,41.0,574.0,11.75
2020-06-18,29424,11.72,100220,367.0,29424,8300,46.0,479.0,11.72
2020-06-19,29280,11.7,100629,409.0,29280,8346,46.0,507.0,11.7
2020-06-20,29121,11.7,101019,390.0,29121,8410,64.0,485.0,11.7
2020-06-21,29021,11.66,101337,318.0,29021,8430,20.0,398.0,11.66
2020-06-22,28867,11.59,101637,300.0,28867,8436,6.0,448.0,11.59
2020-06-23,28805,11.56,101963,326.0,28805,8454,18.0,370.0,11.56
2020-06-24,28667,11.53,102242,279.0,28667,8484,30.0,387.0,11.53
2020-06-25,28693,11.5,102622,380.0,28693,8504,20.0,334.0,11.5
2020-06-26,28560,11.46,102794,172.0,28560,8508,4.0,301.0,11.46
2020-06-27,28543,11.43,103032,238.0,28543,8516,8.0,247.0,11.43
2020-06-28,28537,11.41,103250,218.0,28537,8522,6.0,218.0,11.41
2020-06-29,28174,11.31,103918,668.0,28174,8566,44.0,987.0,11.31
2020-06-30,28019,11.28,104204,286.0,28019,8591,25.0,416.0,11.28
2020-07-01,27912,11.28,104271,67.0,27912,8615,24.0,150.0,11.28
2020-07-02,27783,11.22,104772,501.0,27783,8642,27.0,603.0,11.22
2020-07-03,27735,11.2,105091,319.0,27735,8663,21.0,346.0,11.2
2020-07-04,27653,11.17,105317,226.0,27653,8674,11.0,297.0,11.17
2020-07-05,27613,11.14,105536,219.0,27613,8684,10.0,249.0,11.14
2020-07-06,27672,11.11,105935,399.0,27672,8693,9.0,331.0,11.11
2020-07-07,27573,11.08,106167,232.0,27573,8711,18.0,313.0,11.08
2020-07-08,27450,11.06,106434,267.0,27450,8737,26.0,364.0,11.06
2020-07-09,27482,11.03,106805,371.0,27482,8749,12.0,327.0,11.03
2020-07-10,27466,11.0,107126,321.0,27466,8759,10.0,327.0,11.0
2020-07-11,27308,10.96,107347,221.0,27308,8773,14.0,365.0,10.96
2020-07-12,27340,10.94,107590,243.0,27340,8783,10.0,201.0,10.94
2020-07-13,27524,10.9,108155,565.0,27524,8790,7.0,374.0,10.9
2020-07-14,27518,10.87,108486,331.0,27518,8798,8.0,329.0,10.87
2020-07-15,27534,10.84,108829,343.0,27534,8810,12.0,315.0,10.84
2020-07-16,27601,10.81,109264,435.0,27601,8827,17.0,351.0,10.81
2020-07-17,4141,8.38,109669,405.0,4141,8839,12.0,23853.0,8.38
2020-07-18,4237,8.37,109999,330.0,4237,8848,9.0,225.0,8.37
2020-07-19,4435,8.36,110338,339.0,4435,8852,4.0,137.0,8.36
2020-07-20,4792,8.33,111124,786.0,4792,8858,6.0,423.0,8.33
2020-07-21,5078,8.31,111697,573.0,5078,8862,4.0,283.0,8.31
2020-07-22,5228,8.29,112240,543.0,5228,8870,8.0,385.0,8.29
2020-07-23,5279,8.26,112672,432.0,5279,8874,4.0,377.0,8.26
2020-07-24,5452,8.24,113206,534.0,5452,8881,7.0,354.0,8.24
2020-07-25,5556,8.23,113556,350.0,5556,8885,4.0,242.0,8.23
2020-07-26,5666,8.21,113911,355.0,5666,8890,5.0,240.0,8.21
2020-07-27,5836,8.18,114597,686.0,5836,8901,11.0,505.0,8.18
2020-07-28,5948,8.17,114994,397.0,5948,8912,11.0,274.0,8.17
2020-07-29,6088,8.15,115470,476.0,6088,8917,5.0,331.0,8.15
2020-07-30,6008,8.13,115799,329.0,6008,8929,12.0,397.0,8.13
2020-07-31,6150,8.11,116312,513.0,6150,8935,6.0,365.0,8.11
2020-08-01,6222,8.1,116599,287.0,6222,8941,6.0,209.0,8.1
2020-08-02,6365,8.09,116884,285.0,6365,8945,4.0,138.0,8.09
2020-08-03,6487,8.09,117031,147.0,6487,8947,2.0,23.0,8.09
2020-08-04,6384,8.04,117792,761.0,6384,8958,11.0,853.0,8.04
2020-08-05,6437,8.02,118187,395.0,6437,8962,4.0,338.0,8.02
2020-08-06,6489,8.0,118561,374.0,6489,8966,4.0,318.0,8.0
2020-08-07,6580,7.98,118985,424.0,6580,8970,4.0,329.0,7.98
2020-08-08,6679,7.98,119221,236.0,6679,8976,6.0,131.0,7.98
2020-08-09,6742,7.97,119451,230.0,6742,8981,5.0,162.0,7.97
2020-08-10,4790,7.79,120132,681.0,4790,8987,6.0,2627.0,7.79
2020-08-11,4684,7.77,120421,289.0,4684,8991,4.0,391.0,7.77
2020-08-12,4690,7.75,120844,423.0,4690,9006,15.0,402.0,7.75
2020-08-13,4666,7.73,121234,390.0,4666,9015,9.0,405.0,7.73
2020-08-14,4690,7.71,121652,418.0,4690,9020,5.0,389.0,7.71
2020-08-15,4647,7.7,121889,237.0,4647,9024,4.0,276.0,7.7
