Date,Currently Infected,Percent (%),Total Coronavirus Cases,Novel Coronavirus Daily Cases,Total Coronavirus Currently Infected,Total Coronavirus Deaths,Novel Coronavirus Daily Deaths,New Daily Coronavirus Cases+Cured,Percent (%)
2020-02-15,0,0,0,,0,0,,,0
2020-02-16,0,0,0,,0,0,,0.0,0
2020-02-17,0,0,0,,0,0,,0.0,0
2020-02-18,0,0,0,,0,0,,0.0,0
2020-02-19,0,0,0,,0,0,,0.0,0
2020-02-20,0,0,0,,0,0,,0.0,0
2020-02-21,0,0,0,,0,0,,0.0,0
2020-02-22,0,0,0,,0,0,,0.0,0
2020-02-23,0,0,0,,0,0,,0.0,0
2020-02-24,0,0,0,,0,0,,0.0,0
2020-02-25,0,0,0,,0,0,,0.0,0
2020-02-26,0,0,0,,0,0,,0.0,0
2020-02-27,0,0,0,,0,0,,0.0,0
2020-02-28,1,nan,1,,1,0,,0.0,nan
2020-02-29,1,nan,1,0.0,1,0,0.0,0.0,nan
2020-03-01,3,nan,3,2.0,3,0,0.0,0.0,nan
2020-03-02,9,nan,9,6.0,9,0,0.0,0.0,nan
2020-03-03,13,0,14,5.0,13,0,0.0,1.0,0
2020-03-04,25,0,26,12.0,25,0,0.0,0.0,0
2020-03-05,36,0,37,11.0,36,0,0.0,0.0,0
2020-03-06,44,0,45,8.0,44,0,0.0,0.0,0
2020-03-07,49,0,50,5.0,49,0,0.0,0.0,0
2020-03-08,57,0,58,8.0,57,0,0.0,0.0,0
2020-03-09,64,0,65,7.0,64,0,0.0,0.0,0
2020-03-10,80,0,81,16.0,80,0,0.0,0.0,0
2020-03-11,84,0,85,4.0,84,0,0.0,0.0,0
2020-03-12,116,0,117,32.0,116,0,0.0,0.0,0
2020-03-13,133,0,134,17.0,133,0,0.0,0.0,0
2020-03-14,160,0,161,27.0,160,0,0.0,0.0,0
2020-03-15,179,0,180,19.0,179,0,0.0,0.0,0
2020-03-16,198,0,199,19.0,198,0,0.0,0.0,0
2020-03-17,242,0,247,48.0,242,0,0.0,4.0,0
2020-03-18,245,0,250,3.0,245,0,0.0,0.0,0
2020-03-19,325,0,330,80.0,325,0,0.0,0.0,0
2020-03-20,404,0,409,79.0,404,0,0.0,0.0,0
2020-03-21,467,16.67,473,64.0,467,1,1.0,0.0,16.67
2020-03-22,562,16.67,568,95.0,562,1,0.0,0.0,16.67
2020-03-23,575,7.69,588,20.0,575,1,0.0,7.0,7.69
2020-03-24,634,14.29,648,60.0,634,2,1.0,0.0,14.29
2020-03-25,723,14.29,737,89.0,723,2,0.0,0.0,14.29
2020-03-26,788,14.29,802,65.0,788,2,0.0,0.0,14.29
2020-03-27,854,5.56,890,88.0,854,2,0.0,22.0,5.56
2020-03-28,917,4.35,963,73.0,917,2,0.0,10.0,4.35
2020-03-29,961,3.39,1020,57.0,961,2,0.0,13.0,3.39
2020-03-30,1009,2.6,1086,66.0,1009,2,0.0,18.0,2.6
2020-03-31,1040,2.11,1135,49.0,1040,2,0.0,18.0,2.11
2020-04-01,1087,1.5,1220,85.0,1087,2,0.0,38.0,1.5
2020-04-02,1151,2.38,1319,99.0,1151,4,2.0,33.0,2.38
2020-04-03,1154,1.9,1364,45.0,1154,4,0.0,42.0,1.9
2020-04-04,1185,1.72,1417,53.0,1185,4,0.0,22.0,1.72
2020-04-05,1170,1.27,1486,69.0,1170,4,0.0,84.0,1.27
2020-04-06,1216,1.73,1562,76.0,1216,6,2.0,28.0,1.73
2020-04-07,1212,1.6,1586,24.0,1212,6,0.0,28.0,1.6
2020-04-08,1144,1.27,1616,30.0,1144,6,0.0,98.0,1.27
2020-04-09,1104,1.1,1648,32.0,1104,6,0.0,72.0,1.1
2020-04-10,1077,1.17,1675,27.0,1077,7,1.0,53.0,1.17
2020-04-11,1029,1.21,1689,14.0,1029,8,1.0,61.0,1.21
2020-04-12,952,1.07,1701,12.0,952,8,0.0,89.0,1.07
2020-04-13,915,1.01,1711,10.0,915,8,0.0,47.0,1.01
2020-04-14,881,0.95,1720,9.0,881,8,0.0,43.0,0.95
2020-04-15,833,0.89,1727,7.0,833,8,0.0,55.0,0.89
2020-04-16,757,0.81,1739,12.0,757,8,0.0,88.0,0.81
2020-04-17,705,0.86,1754,15.0,705,9,1.0,66.0,0.86
2020-04-18,632,0.8,1760,6.0,632,9,0.0,79.0,0.8
2020-04-19,577,0.75,1771,11.0,577,9,0.0,66.0,0.75
2020-04-20,578,0.84,1773,2.0,578,10,1.0,0.0,0.84
2020-04-21,512,0.79,1778,5.0,512,10,0.0,71.0,0.79
2020-04-22,464,0.76,1785,7.0,464,10,0.0,55.0,0.76
2020-04-23,423,0.73,1789,4.0,423,10,0.0,45.0,0.73
2020-04-24,376,0.71,1789,0.0,376,10,0.0,47.0,0.71
2020-04-25,344,0.69,1790,1.0,344,10,0.0,33.0,0.69
2020-04-26,318,0.68,1792,2.0,318,10,0.0,28.0,0.68
2020-04-27,280,0.66,1792,0.0,280,10,0.0,38.0,0.66
2020-04-28,267,0.65,1795,3.0,267,10,0.0,16.0,0.65
2020-04-29,257,0.65,1797,2.0,257,10,0.0,12.0,0.65
2020-04-30,237,0.64,1797,0.0,237,10,0.0,20.0,0.64
2020-05-01,224,0.64,1798,1.0,224,10,0.0,14.0,0.64
2020-05-02,205,0.63,1798,0.0,205,10,0.0,19.0,0.63
2020-05-03,189,0.62,1799,1.0,189,10,0.0,17.0,0.62
2020-05-04,178,0.62,1799,0.0,178,10,0.0,11.0,0.62
2020-05-05,172,0.61,1799,0.0,172,10,0.0,6.0,0.61
2020-05-06,162,0.61,1799,0.0,162,10,0.0,10.0,0.61
2020-05-07,147,0.6,1801,2.0,147,10,0.0,17.0,0.6
2020-05-08,142,0.6,1801,0.0,142,10,0.0,5.0,0.6
2020-05-09,132,0.6,1801,0.0,132,10,0.0,10.0,0.6
2020-05-10,124,0.6,1801,0.0,124,10,0.0,8.0,0.6
2020-05-11,124,0.6,1801,0.0,124,10,0.0,0.0,0.6
2020-05-12,124,0.6,1801,0.0,124,10,0.0,0.0,0.6
2020-05-13,122,0.6,1802,1.0,122,10,0.0,3.0,0.6
2020-05-14,118,0.59,1802,0.0,118,10,0.0,4.0,0.59
2020-05-15,118,0.59,1802,0.0,118,10,0.0,0.0,0.59
2020-05-16,116,0.59,1802,0.0,116,10,0.0,2.0,0.59
2020-05-17,112,0.59,1802,0.0,112,10,0.0,4.0,0.59
2020-05-18,112,0.59,1802,0.0,112,10,0.0,0.0,0.59
2020-05-19,112,0.59,1802,0.0,112,10,0.0,0.0,0.59
2020-05-20,110,0.59,1803,1.0,110,10,0.0,3.0,0.59
2020-05-21,110,0.59,1803,0.0,110,10,0.0,0.0,0.59
2020-05-22,109,0.59,1803,0.0,109,10,0.0,1.0,0.59
2020-05-23,109,0.59,1804,1.0,109,10,0.0,1.0,0.59
2020-05-24,109,0.59,1804,0.0,109,10,0.0,0.0,0.59
2020-05-25,109,0.59,1804,0.0,109,10,0.0,0.0,0.59
2020-05-26,109,0.59,1804,0.0,109,10,0.0,0.0,0.59
2020-05-27,109,0.59,1805,1.0,109,10,0.0,1.0,0.59
2020-05-28,109,0.59,1805,0.0,109,10,0.0,0.0,0.59
2020-05-29,109,0.59,1805,0.0,109,10,0.0,0.0,0.59
2020-05-30,108,0.59,1806,1.0,108,10,0.0,2.0,0.59
2020-05-31,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-01,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-02,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-03,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-04,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-05,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-06,108,0.59,1806,0.0,108,10,0.0,0.0,0.59
2020-06-07,109,0.59,1807,1.0,109,10,0.0,0.0,0.59
2020-06-08,109,0.59,1807,0.0,109,10,0.0,0.0,0.59
2020-06-09,109,0.59,1807,0.0,109,10,0.0,0.0,0.59
